year,title,authors,countries,keywords,conference,doi,url,concepts,citations,downloads,abstract
2007,Enabling open innovation and interoperability: recommendations for policy-makers,"Tsilas, Nicos L.",,business models; choice; economy; government procurement; intellectual property; interoperability; law; open innovation; public policy; standards; technological neutrality,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328071,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328071,Open innovation;Policy;Interoperability;Intellectual property;Regulation;Economic growth;Government,0,593,"This paper examines the important role that intellectual property (""IP"") plays in driving innovation and interoperability in the IT industry, and recommends how governments can best promote these objectives, in particular by: (1) protecting IP; (2) avoiding technology mandates which stifle innovation and stunt economic growth and (3) promoting choice and technological neutrality in their procurement decisions and regulations."
2007,Adaptability and accountability of information architectures in interorganizational networks,"Janssen, Marijn",The Netherlands,accountability; adaptability; coordination; flexibility; information architecture; interorganizational networks; orchestration; public service networks; service-oriented architecture,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328072,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328072,Information architecture;Accountability;Adaptability;Computer network;Organization;Information system;Loose coupling;Provisioning,4,443,"Governmental service provisioning is increasingly organized around networks of agencies. These agencies have various objectives and a variety of heterogeneous types of information systems. Each agency can independently design (a set of) subsystems that should function together to provide a service. Often the collaborating organizations have various degrees of technology-readiness and different objectives and interests. The service executing depends on the weakest subsystem and total network performance need to be accounted for. Furthermore, network arrangements are likely to change and evolve over time and need to adapt to changing circumstances, whereas, the entire network's performance is dependent on the performance of the individual departments. In this paper we investigate adaptability and accountability aspects of information systems in networks of organizations. Adaptability is the ability to deal with new environmental conditions. Accountability is the answerability for one's actions or inactions and to be responsible for their consequences. Adaptability requires a loosely coupled structure, which can seriously hamper accountability. Accountability requires tight integration and clear processes. We analyzed the adaptability and accountability aspects in two case studies. The case studies demonstrate that both requirements are not necessarily conflicting and can be complimentary. More research is necessary on designing architectures which are able to meet the adaptability and accountability requirements at the same time."
2007,Government role in developing an interoperability ecosystem,"Baird, Stacy Avery",United States,culture; economy; government; interoperability; law; politics; public policy; social theory; society; standards,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328073,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328073,Interoperability;Government;Ecosystem,1,267,"The article describes the five facets of the interoperability ecosystem and offers insight into a constructive role for governments in facilitating each aspect individually, as well as in promoting the interoperability ecosystem as a whole."
2007,Tutorial and workshop on knowledge management in public administration,"Wimmer, Maria A.; Traunmüller, Roland",Germany; Austria,architectures; information; knowledge; knowledge management; knowledge structuring,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328075,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328075,Knowledge management;Public administration;Domain knowledge;Enterprise architecture;Ontology (information science),2,423,"The public sector is dealing with information and knowledge resources by and large. Many activities and results are of the nature of information and knowledge. However, there is a big lack of a clear and comprehensive understanding of how knowledge and information can be used effectively and under the conditions of public sector activity, compliance to laws and privacy rules. In addition, the understanding of what ICT systems can support the huge amount of knowledge existing in the public sector most effectively is still poor. The tutorial and workshop at ICEGOV2007 will contribute to a better understanding of knowledge management requirements of public administration and the available solutions. The tutorial will teach the fundamentals of knowledge management techniques including the use of Enterprise Architectures and ontologies within government for knowledge and information sharing, planning and interoperability. The workshop session will feature four papers and discussions related to state-of-the-art applications of knowledge management in the government domain, tools and techniques for knowledge management, enterprise architectures and ontologies."
2007,Fix my street or else: using the internet to voice local public service concerns,"King, Stephen F.; Brown, Paul",England; England,citizen voice; e-government; local government; public service transformation; virtual community,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328076,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328076,Voice over Internet Protocol;Internet;Virtual community;Internet forum;Online community;Government;Public sector;Citizenship,32,618,"UK local governments have invested heavily in ICT in recent years to improve public service delivery. Most local governments now operate contact centres and websites to exchange information and transactions with citizens. But the aspirations of central government go much further - to service ""transformation"" - and the expectation that citizens and communities will be actively engaged in service design and delivery. In parallel with this new political agenda, technological developments are enabling users to create their own online fora, and to generate their own content. These fora often address public service areas, such as healthcare, crime and education. This paper presents an evaluation of one of the first citizen-driven systems for local public service improvement in the UK: FixMyStreet.com (FMS). The system enables citizens to report, view or discuss local problems such as graffiti, fly tipping, broken paving slabs or street lighting, and to track their resolution by the local government concerned. The system went live in February 2007. FMS has attracted over 3000 problem reports and updates in its first six months, and is viewed very favourably by the citizens surveyed here. But many problems reported to the site remain ""unfixed"" with status ""unknown"". Local government officers voice a number of concerns: the site duplicates their own websites; they cannot report fixes directly to ensure the information is up-to-date; nor can they manage user expectations regarding service performance. And the site has no ""sense of virtual community"" (SOVC) [1], with individuals posting in isolation without the support of fellow citizens to amplify their voices or to contribute to problem resolution. The paper concludes by combining the concept of SOVC, factors identified as encouraging growth in online communities, and the example of a successful London community website, BRAIN, to suggest possible future developments for FMS and for public service fora in general."
2007,The 100 euro e-gov portal,"Koumpis, Adamantios; Chatzidimitriou, Marios; Vontas, Apostolos; Peristeras, Vassilios",Greece; Greece; Greece; Ireland,adoption patterns; e-government portal technologies; low-cost solutions for global e-government,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328077,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328077,,2,244,"In this paper we present an initiative that is lead by ALTEC Research, which is a part of the work carried out in the European IST Project OneStopGov (http://www.onestopgov-project.org). It follows the logic of the 100 $ laptop and builds on experiences and lessons of the latter to improve the situation in the addressed field. More specifically we promote the idea of a truly low cost and generic e-Government solution that will be open for download as an integrated product and service suite that can be purchased and used for free or with an extreme low cost (similar to the 100 dollar laptop) so that some basic costs for running the promotional campaign can be subsidised. The successful realisation of our vision, depends not only on marketing a cheap product, but also on ensuring that the process of its adaptation by the potential deployment parties will stay on affortable levels."
2007,Proactive knowledge management: the DYONIPOS research and use-case project,"Makolm, Josef; Weiß, Silke; Reisinger, Doris",Austria; Austria; Austria,knowledge management; knowledge work support; public administration; research project dyonipos; semantic technologies; use-case,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328078,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328078,,1,367,"Efficient and effective knowledge management plays an increasingly important role in knowledge-intensive organizations. In such organizations knowledge workers require a certain degree of freedom in structuring their own tasks [3]. This essential freedom often conflicts with the organization's need of standardization, control and transparency [5]. The vision of the research project DYONIPOS (DYnamic Ontology based Integrated Process OptimiSation) is to resolve this dilemma by automatically supporting knowledge workers with the required knowledge just in time, while avoiding additional work and violations of the knowledge worker's privacy. Furthermore DYONIPOS will support knowledge organizations by developing an organizational knowledge database, supporting the management of the developed processes and knowledge basis and visualizing workflow and processes. DYONIPOS sets up a context-sensitive, intelligent and agile assistant based on semantic and generic knowledge discovery technologies [5]. This article is structured as follows: Section 1 addresses the relation between the applied approach and the challenge in e-Government and summarizes the aims of the research project DYONIPOS. In Section 2 the semantic and knowledge discovery technologies used are presented. The paper concludes with the presentation of the use-case project, showing its current results."
2007,Ontology for an e-participation virtual resource centre,"Wimmer, Maria A.",Germany,e-participation; ontology; virtual resource centre,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328079,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328079,,11,642,"E-participation has become an important topic of research and development. DEMO-net, an EC-funded Network of Excellence within the 6th Framework Program of the EC, investigates this field of research and practice. To provide the knowledge gathered in the project in a structured way to different audiences, a (virtual) centre of excellence shall be developed and implemented. Such a knowledge portal shall serve as a central entry point for the various stakeholders to a) learn about the field e-participation and its characteristics from a scientific perspective, b) to provide an instrument to further structure the field, c) to thematically cluster projects and knowledge, and at the same time d) to provide a practical instrument for the users to overview the projects and knowledge in the field. The virtual resource centre shall enable stakeholders to find relevant information and knowledge on e-participation in an effective way. To structure that information and to provide it in a reasonable way, an e-participation ontology seems to be a proper concept. The contribution will introduce a draft of the e-participation ontology, which is being developed among partners in the project. The ontology is based on scientific findings which have been developed along the first period's activities in the project."
2007,Electronic governance and organizational transformation,"Pardo, Theresa A.; Jiang, Yuanfu",United States; China,cross-boundary information sharing; e-governance; government; knowledge sharing; management; regulation; transformation,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328081,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328081,Governance;E-Government;Transformation (genetics);Organizational structure;Public sector;Information and communications technology;Government,0,830,"The role of information and information technology in the transformation of public agencies is well understood to be central. The challenge governments face is understanding the nature of that role and leveraging it in the process of governmental transformation. The tutorial and the workshop sessions focused on this topic will examine organizational transformation in the public sector, and in particular the role of ICTs in that transformation process. Issues to be covered include: new models of organizational structures in government, capability assessment, and cross-boundary information sharing. Both will focus on extending current understanding of the role of information and information technology as part of government transformation as well as the impact of it on those transformation processes. This paper introduces the topics to be covered in the tutorial and provides an overview of the papers to be presented in the workshop."
2007,Enhancing the design of e-government: identifying structures and modelling concepts in contemporary platforms,"Meneklis, Vassilis; Douligeris, Christos",Greece; Greece,rm-odp; architectural modelling; e-government; structuration theory,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328082,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328082,E-Government;RM-ODP;Reference model;Information system,2,661,"In this paper we argue that attentive observation of the evolution of e-Government can result in the identification of patterns that affect this process in a deep, subconscious and recursive way. These patterns can be used to enhance the contemporary modelling methodologies of information systems which play a crucial role in their overall efficiency. In this respect, we analyze this evolution from a structurational perspective focusing on the structuring through services and on the structuring through technologies. Through our analysis we discover modelling concepts that pervade design attempts for e-Government systems to date. Finally, we suggest an extension to an existing modelling framework (the ISO Reference Model for Distributed Processing Systems - ISO RM-ODP) which is established on the identified concepts and their corresponding structuring rules that we have defined based on our experiences. These conceptual extensions are put to use in the modelling phase of a European e-Government project (SWEB)."
2007,Enacting and implementing open government information regulations in China: motivations and barriers,"Zheng, Lei",United States,china; enactment and implementation; information policy; open government information; regulation,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328083,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328083,Regulation;Government;Cabinet (government);Economy;Politics,1,433,"The State Council, China's cabinet, enacted its Open Government Information Regulations in April 2007. This paper examines the political, economic and administrative motivations for the enactment of the regulation, and then explores the potential legal, institutional, administrative, social and economic barriers for the implementation of the regulation."
2007,Managing aging workforce: filling the gap between what we know and what is in the system,"Liu, Shuhua (Monica); Fidel, Raya",United States; United States,aging workforce management; business process reengineering; employee motivation; information systems; knowledge sharing; organizational commitment; organizational communication; workflow analysis,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328084,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328084,Public sector;Employment;Information system,1,835,"With the retirement of large groups of senior employees from public sectors in USA, valuable institutional and operational knowledge are also lost when these knowable individuals leave the organization. Although advanced information systems are implemented in public sectors to retain valuable knowledge in the organization, researchers repetitively found that gaps exist between what senior members know and what is available in the system for newcomers to use. How to retain knowledge held by senior employees in the organization becomes a huge challenge faced by public sector management. This study argues that when using mobile information systems to facilitate fieldworkers' task performance, public sectors need to pay close attention to three factors that might influence knowledge retaining and information reuse: Knowledge tacitness, Criteria of information relevance when it is related to specific tasks, and roles played by active employees, based on observations and interviews with employees using mobile information devices here in a public sector in the Northwest of the US. Furthermore, the conflict between lower management's perception on use of mobile devices and local operation priority is cited as one of the leading reasons why many information systems fail to serve as the main information tank for organizational sustainability."
2007,ICT to enhance administrative performance: a case study from Egypt,"Abdelsalam, Hisham M. E.; ElKadi, Hatem",Egypt; Egypt,gis; mis; decision support; investment planning; re-engineering,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328085,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328085,Information and communications technology;Egypt;E-Government;Management information system;Decision making;Geographic information system,1,320,"Egypt has achieved considerable steps in the use of ICT in administration since the mid 80s. The Egyptian e-Government program - formulated and launched in 2000 - operates on two major axes: (1) providing services through new and easy channels, and (2) updating the systems of governmental work. Since its start, the program developed several pilot projects to probe their feasibility. Many of these projects matured and are currently in the roll out phase. This paper presents work done in one of these projects; work and decision making enhancement in the Investment Department in Matrouh Governorate. The project involved three areas for enhancement: (1) re-engineering of business processes, (2) a Management Information System (MIS) for the governorate administration, and (3) a Geographical Information System (GIS). The paper - briefly - discusses how information and communication technologies were deployed to enhance decision making in one governmental entity in Egypt."
2007,Software development for governmental use utilizing free and open source software,"Björgvinsson, Tryggvi; Thorbergsson, Helgi",Iceland; Iceland,e-government; free and open source software; software development,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328087,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328087,Free and open source software;Software development;Government;European Commission;Project management,0,963,"The Icelandic government is about to release its policy on free and open source software. Many governments around the world have either already released a similar policy or have one planned. The policy of the Icelandic government deals with both the use and the development of free and open source software. This paper takes a close look at the free and open source software policies, particularly the Icelandic one, from a software development perspective. The goal is to show how governments can utilize free and open source software when customized software is required. The paper also touches upon licensing issues for free and open source software by discussing the European Union Public License. Governmental project management and services of small software companies and the free and open source community are the focal points of the research. The basis of the research is the i2010 policy framework of the European Commission. The paper concludes by proposing a suitable methodology to use for governmental software development and recommending tools that foster both development and management, with emphasis on the latter."
2007,Lessons for open standard policies: a case study of the Massachusetts experience,"Shah, Rajiv; Kesan, Jay; Kennis, Andrew",,open standards; public policy; standards,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328088,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328088,Open standard;Policy;Government;Electronic document;Proprietary software;Public records,3,370,"In 2003, Massachusetts embarked on a policy to transition to open standards for information technology. This policy led Massachusetts to switch the format of its electronic documents for its public records from a proprietary, to an open standard. This article documents this historic process, as Massachusetts was the first government to switch its information technology over to open standards. The article also analyzes the Massachusetts experience to develop a set of lessons learned. The resulting guidance should aid governments that are considering policies that encourage or favor open standards."
2007,Open standards and accessibility to information: a critical analysis of OOXML in India,"Bhattacharya, Jaijit; Ilavarasan, P. Vigneswara; Gupta, Shantanu",India; India; India,india; odf; ooxml; e-governance; open standards; word processing,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328089,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328089,Office Open XML;Open standard;Accessibility;Vendor lock-in;XML;International development,0,290,"Present paper attempts to examine the social impact of adoption of Office Open Extensible Markup Language (OOXML), a proposed open standard format for documents, in India. It suspects that adoption will increase the cost to access information. It highlights the need for adopting open standard in the ICT developmental efforts and tackling technological lock-in."
2007,Crisis of personal data protection during the construction of e-government: reaction and limits of Hong Kong privacy laws,"Yongxi, Chen",Hong Kong,hong kong; e-government; legal deficiency; personal data protection; privacy law,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328090,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328090,Privacy law;Information privacy;E-Government;Hong Kong;Data breach;Personally identifiable information;Online service provider,2,594,"The government of Hong Kong has achieved remarkable staged results according to its comprehensive E-government blueprint. At the same time, it is its statutory responsibility to protect privacy and personal data. However, there has been a succession of incidents of unauthorized leakage onto the Internet of personal data held by the agencies of Hong Kong government since 2006. These incidents occurred during the implementation of E-government, and aroused the public's deep concern of their privacy rights impacted by the Internet and the security of their personal data held by government agencies. This paper studies two typical cases of personal data leakage, one arising during the internal outsourcing process, the other occurring in external online service to citizens. It analyzes how the existing privacy regime addresses privacy intrusion and whether the redress is sufficient, before exploring the defects of the remedy system as well as the ways of improving legal protection of personal data within E-government environment."
2007,Public-private partnership in managing labor market in UAE - case study,"Moustafa, Ehab",United Arab Emirates,ppp; business innovations; business transformation; change management; e-government; governance model; parallel organization; private public partnership; strategic planning,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328092,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328092,Public¿private partnership;Labour economics;United Arab Emirates;Business architecture;Governance;Partnership;Authority;Private sector,0,381,"This paper reports the experience of adopting the Public-Private Partnership concept in modern governance and discusses issues like Models for Electronic Public Services (EPS), Government Collaboration Patterns, and Models for Citizen Engagement in the context of delivering high quality government services in complex environment. The Ministry of Labour (MoL) of the UAE is the federal agency responsible of managing a labor market dominated by foreign workers - 95% of the work force. Managing a labor market of such nature is not an easy task. Between the offer and the demand, the government needs to regulate the market place in a way that is beneficiary for all players and serve the national interest in the first place. MoL is the sole authority controlling the issuance of permits to businesses to bring in foreign workers - import manpower - on temporary bases. Dealing with a population from all parts of the world with such a huge variations of legal documents make it quasi impossible to have an error free service. To review, verify and authenticate all types of documents MoL had to count on the private sector help. MoL created a network of certified service offices that act as a buffer area between MoL's services seekers and MoL organization. Smart Forms were developed in collaboration with another private sector ICT services provider, who provides all technical system infrastructure investments and works on profit-sharing principles. Authentication of documents is carried out by another private sector partner. For all these partnerships to work effectively and efficiently, a major structural reform in MoL had to be carried out. The transformation from a structure that is geared to manage the entire processes of service delivery to a completely new structure that works in partnership with other non-governmental entities -and make it works- was not an easy operation. New business concepts needed to be invented, examined and developed in special testing environments. Customization of services was another area of the reform program that was key success factor. The knowledge management program and its institutionalization was one of the pivotal axes of the transformational program. A new business architecture was developed and adopted my MoL to respond to the challenges facing it as a policy making and regulatory authority in labour market management in UAE. The transformation needed to be very carefully planned, managed and executed without any interruption of service, and has considered all internal and external engagements and commitments. An educate change management program was a key factor for the success of the transformation process. With a successful implementation of PPP, MoL today is providing all its customers with effective online services, within an efficient setup."
